"Year","ABW","AGO","AIA","ALB","ARG","ATG","AUS","AUT","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BLZ","BMU","BOL","BRA","BRB","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CYM","CYP","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ESP","ETH","FIN","FJI","FRA","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GTM","HKG","HND","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KEN","KHM","KNA","KOR","KWT","LAO","LBN","LBR","LCA","LKA","LSO","LUX","MAR","MDG","MDV","MEX","MLI","MLT","MMR","MNG","MOZ","MRT","MSR","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","PSE","ROU","RWA","SAU","SDN","SEN","SGP","SLE","SLV","STP","SUR","SWE","SWZ","SYC","SYR","TCA","TCD","TGO","THA","TTO","TUN","TUR","TWN","TZA","UGA","URY","USA","VCT","VEN","VGB","VNM","ZAF","ZMB","ZWE"
1980,13809.66,3094.77,12541.24,3437.24,4177.95,5525.09,22110.42,18493.2,837.12,22866.04,1836.2,927.38,1171.55,6844.49,22339.39,22796.17,4962.49,25719.92,2119.68,5488.68,12999.65,1588.82,2236.53,1003.58,25182.41,31377.9,7090.43,1844.41,2432.1,2293.66,2062.26,2121.06,6972.39,3162.81,1428.62,7684.22,36908.99,12454.38,20347.71,3562.45,4331.31,22918.4,4518.17,11111.25,7294.5,1267.24,14548.84,687.04,19551.56,5456.74,22896.4,12712.12,19594.43,3320.37,3246.36,2648.19,1503.12,1744.74,13924.93,2963.18,3773.27,15117.12,2838.02,1584.98,10563.44,2247.97,1134.06,13113.47,3846.9,7071.65,26849.58,16102.37,20090.35,4425.23,4271.06,19291.73,2062.5,830.69,6277.56,4662.77,65342.89,783.04,4464.19,2155.91,5101.74,2042.49,1398.37,30450.72,2659.87,1424.07,2620.24,12441.96,620.01,9736.83,867.79,1717.07,721.19,2348.15,11476.08,5612.11,1159.52,6630.15,7028.54,1331.19,5653.45,4943.49,23750.41,24268.05,716.94,16592.16,11499.09,2027.02,6244.41,4071.53,3113.4,6214.35,10137.31,3362.9,2504.99,6325.55,1154.39,34777.71,1520.08,2023.84,12422.24,1171.95,2783.18,2359.55,5943.25,21343.56,3738.67,11078.34,2766.1,6752.78,890.12,1967.63,3188.19,23142.16,4285.78,7613.37,9516.01,1838.02,743.24,9500.76,28511,3575.89,10416.73,7283.19,912.38,9491.18,1568.52,2687.81
1981,14955.74,2955.37,13259.08,3489.2,4077.94,5791.45,22919.67,18317.12,864.96,21346.38,1964.96,959.06,1165.37,7258.03,20328.14,20404.81,3937.38,25219.51,2165.43,5430.55,12630.34,1751.35,2374.61,1153.69,25583.68,31416.77,7283.35,1826.95,2398.3,2489.13,1923.63,2383.8,6776.96,3093.28,1460.07,6987.31,39078.84,12446.58,19667.79,3493.17,5023.23,21906.47,4704.8,11608.78,7273.34,1414.69,13535.05,744.63,19826.26,4951.24,22084.4,12617.96,19200.68,3028.2,3122.03,3036.35,1344.79,1563.19,13912.02,2820.19,3696.49,15586.27,2723.17,1449.92,10740.25,2383.72,1104.57,13118.16,3415.62,5699.5,27875,16744.34,19588.09,4113.39,4143.56,19121.77,1984.09,822.55,6636.66,4850.06,51555.11,886.55,4478.04,1779.19,4853.61,2258.41,1387.75,29364.12,2580.66,1317.29,2671.34,13247.71,690.12,10222.6,893.76,1554.71,730.62,2352.53,12040.61,5569.56,1195.04,6533.51,6184.03,1197.56,5333.76,4943.34,23022.3,24547.84,766,17131.26,12803.25,2067.36,6490.82,4133.45,3160.87,5811.04,9814.44,3680.13,2267.44,6270.13,1277.44,32983.23,1620.59,2002.84,13308.29,1213.31,2418.85,2071.65,6283.52,21273.05,3954.58,10323,2580.47,7149.32,777.54,1673.97,3278.89,22334.16,4444.48,8299.4,9988.44,1540.35,725.33,9616.53,29045.85,3860.52,10249.38,7142.66,943.37,9195.98,1630.06,3160.61
1982,16076.49,2893.01,13378,3456.06,4016.47,7377.83,22031.81,18464.62,830.27,20628.1,1482.96,928.92,1128.45,7638.21,17491.88,19109.77,3955.63,25947.43,2147.27,5442.96,12066.44,1791.65,2301.57,1110.66,24267.6,31542.09,6172.91,1955.69,2345.31,2685.09,1903.2,2554.06,6674.51,3231.41,1521.88,6555.64,41520.16,13336.51,19329.06,3325.93,5346.48,22175.16,4620.28,11317.53,6954.99,1388.58,13071.15,788.66,19919.93,4737.33,21975.27,11296.77,19254.96,2482.87,3111.51,3139.1,1362.46,1509.95,13399.65,2884.55,3556.01,15903.46,2649.04,1379.31,10860.65,2373.88,1070.44,13348.9,3692.84,5388.78,28615.77,17264.25,19403.12,4037.73,3969.57,18647.93,1967.5,801.56,6440.33,5198.84,40870.45,932.72,2823.56,1699.52,4990.76,2222.36,1340.79,29394.42,2786.08,1294.31,3170.24,12915.75,737.67,10672,919.99,1785.6,685.03,2113.24,12528.64,5925.67,1227.65,6709.16,6078.99,1195.49,5223.96,4670.89,22310.35,24190.69,802.62,17206.97,12765.95,2079.09,6454.1,4069.08,3182.99,5786.42,9855.96,3548.14,2391.09,6574.12,1206.62,27211.09,1786.59,2268.98,14364.93,1254.08,2271.73,2098.3,6025.07,21335.3,3933.97,9106.55,2384.2,7534.84,801.93,1628.82,3364.72,20449.45,4414.93,8096.94,10403.23,1533.5,820.33,8583.86,28218.21,4064.36,9263.24,6997.11,996.55,8958.16,1563.58,3206.79
1983,17319.98,2831.75,13303.27,3512.87,4319.31,7627.48,22982.68,18877.81,848.22,19979.18,1468.53,849.23,1128.64,8112.59,17884.22,18486.74,3868.15,26774.46,2075.46,5231.54,12147.71,1976.65,2422.95,1033.28,24963.28,31678.62,5954.64,2059.37,2327.94,2948.78,1911.66,3038.35,6496.21,3360.1,1610.15,6518.42,45646.64,13715.18,19475.04,3248.65,5622.49,22387.07,4762.7,11564.11,6587.28,1559.56,12652.37,884.76,20026.09,4536.74,21629.71,12135.81,19733.04,2384.87,3067.24,2903.51,1299.63,2303.6,13238.8,2903.83,3486.48,16303.26,2514.8,1392.2,10759.98,2485.87,1058.85,13243.08,3616.96,4637.33,25207.43,18034.87,19234.63,4076.31,3908.58,18148.59,1991.42,808.75,6566.15,5804.79,39755.03,966.21,3685.71,1621.82,5207.15,2269.79,1233.59,29034.18,2938.51,1335.95,2780,11988.73,704.86,10157.03,960.5,1978.9,594.89,2098.8,12161.43,6122.54,1283.28,7106.38,5674.33,1161.3,4984.11,4844.02,22193.77,24461.16,780.87,17990.41,12422.5,2138.95,6513.5,3702.95,3128.06,6216.94,9659.06,3351.29,2229.13,6835.85,1242.44,24001.01,1560.81,2347.43,15599.22,1201.89,2271.8,1968.29,6041.93,21685.79,4126.05,9951.19,2107.35,7929.63,1047.28,1484.55,3456.23,17725.24,4576.08,8297.96,11280.03,1560.99,885.94,7690.1,29397.84,4266.55,9116.07,7117.46,1042.11,8935.4,1583.5,3603.45
1984,18786.71,3035.3,13488.99,3491.63,4539.5,6684.98,23501.09,18864.98,848.56,20022.25,1589.94,838.67,1203.12,8311.99,19817.72,21192.95,3841.03,26379.07,2177.58,5388.61,12627.86,1974.34,2743.88,1086.75,26386.22,32107.3,5983.13,2263.2,2508.71,3221.01,2315.58,3538.2,6516.68,3404.02,1639.41,6877.11,47976.58,15218.85,19619.86,3229.96,5799.79,23031.7,4550.17,11721.28,6514.3,1720.33,12441.03,867.11,20181.36,4699.38,21227.94,11642.65,19932.14,2512.02,3037.37,2873.42,1296.58,2183.43,13382.99,3075.97,3467.19,17807.05,2590.44,1417.36,10873.82,2595.16,1030.92,13451.05,3194.15,4569.15,27402.44,17717.88,19490.41,4103.1,4341.15,18071.6,2071.93,817.07,7183.27,6331.12,38706.1,946.75,5422.9,1492.02,5509.21,2392.29,1229.18,29561.21,3063.16,1347.01,3070.12,11991.74,695.6,10080.74,1006.68,2188.11,624.4,2011.95,12849.68,6219.29,1355.44,7696.18,5727.23,870.59,4450.32,4698.6,22641.09,25805.3,826.21,18610.2,13063.71,2198.67,6353.94,3856.5,2897.69,6754.48,9298.77,3350.41,2273.72,7147.08,1165.44,21548.57,1523.43,2426.65,16431.44,1228.3,2330.97,1886.39,5854.57,22829.72,4008.31,10844.35,1887.01,8373.42,1079.75,1457.43,3635.4,16531.31,4667.22,8550.59,12325.87,1634.68,844.11,7512.96,31519.54,4483.4,9217.86,7139.55,1104.73,8959.18,1829.18,3311.18
1985,20291.65,2990.91,14930.29,3441.53,4285.32,7326.3,23864.79,19237.47,912.88,19816.93,1682.41,906.43,1218.63,8700.79,14578.35,23313.49,4246.81,27728.1,2261.21,5557.47,12632.23,1997.16,3265.11,1179.34,27560.92,32528.6,5963.37,2407.47,2733.76,3280.17,2058.93,3407.95,6400.94,3672.91,1676.63,6925.9,45938.55,15606.5,19741.64,3173.55,5927.51,23630.95,4459.84,11985.18,6647.58,1793.6,12314.38,867.62,20366.13,4757.45,20980.98,10438.86,20479.29,2631.11,3102.12,2850.39,1101.2,2267.36,13777.67,3264.31,3360.35,18188.38,2605.71,1424.18,10750.51,2620.18,1021.85,13596.22,3090.65,4543.93,26967.52,17841.18,19678.67,3774.21,4120.49,18393.28,2050.52,823.11,7550.12,6669.4,34976.92,1015.34,6211.89,1483.84,5917.65,2533.24,1261.25,29806.44,3298.4,1362.86,3345.92,11914.21,867.97,10213.61,1004.88,2139.68,575.98,2025.05,13896.31,6517.16,1441.06,7172.13,6206.75,925.89,4752.62,4757.5,22606.88,26529.55,856.87,18534.85,14032.09,2263.86,6382.72,3881.19,2691.81,7295.89,9609.04,3376.43,2186.86,7295.63,1176.57,17652.04,1499.61,2613.41,15466.75,1217.65,2394.81,1929.65,6439.85,23377.02,3964.04,11315.15,1824.97,8866.69,1124.97,1438.07,3724.57,16238.41,4863.17,8895.82,12722.37,1810.01,799.92,7456.14,32548.87,4637.99,8730,6919.57,1139.95,8739.4,1981.22,3501.88
1986,22369.06,2508.11,17797.09,3549.33,4806.08,8983.89,23865.3,20130.43,928.89,20815.16,1469.24,949.25,1222.63,8715.66,13193.5,23808.88,4589.64,29462.87,2159.19,6152.56,13844.23,2077.35,3942.72,1124.23,27725.43,34103.21,6148.98,2472.13,2687.9,3023.06,1857.04,2237.81,6767.92,4145.47,1856.58,7495.78,48437.5,16047.15,21090.98,2995.87,6565.49,25218.4,4613.91,9986.6,6143.3,1763.28,13154.29,847.85,21238.14,4782.39,21827.44,8201.95,20701.07,2617.44,3080.24,2777.83,1326.45,1881.26,14374.25,3275.58,3455.13,19212.31,2688.04,1426.01,11058.25,2576.9,1057.88,13934.02,2717.89,4728.8,28296.51,18692.64,20928.73,4050.57,4203.54,19560.34,2139.81,833.65,8378.9,7667.56,25703.06,1035.85,5513.48,1446.14,6500.8,2653.86,1208.52,32771.66,3643.61,1611.8,3537.63,10932.36,882.33,10572.95,980.45,2248.56,588.52,2043.86,14841.55,7615.59,1271.38,6383.57,6059.72,903.33,1443.23,4434.54,23220.58,25866.92,879.14,19434.78,10191.82,2286.26,6716.88,4152.58,2782.38,7677.6,10640.51,3255.62,2529.47,7497.73,1183.18,17222.17,1595.11,2688.4,15110.09,1207.56,2524.48,1796.67,6078.68,24445.17,4619.07,10953.43,1586.03,9440.62,1080.44,1444.36,3785,13556.44,4672.39,9242.78,14600.95,1207.1,776.86,8381.96,33284.58,4896.45,7852.98,6872.47,1149.15,8373.95,1645.68,3515.02
1987,26620.96,2777.73,18874.25,3514.56,5090.85,9594.04,25249.25,20923.61,884.57,21556.43,1325.62,918.32,1204.5,9560.74,12593.47,23922.21,4979.57,30456.73,2185.02,6242.55,14544.17,2291.28,4291.13,1020.32,28952.62,34567.56,6462.56,2583.98,2475.42,2889.08,1810.76,2213.06,6642.87,4039.82,1948.47,7210.92,49926.38,17217.4,21827.08,2733.02,6870.54,25266.92,4752.16,9067.53,5873.61,1768.07,14129.01,852.53,22136.43,4750.2,22287,7385.64,21520.2,2603.56,3085.22,2691.34,1330.13,2003.39,14237.33,3750.72,3344.88,21355.52,2731.04,1391.58,11840.81,2642.77,1103.96,14487.31,2744.63,5549.71,31526.91,19840.71,21932.15,4353.31,4520.77,20731.03,2071.83,973.59,8988.28,8760.7,28660.08,1015.19,6657.14,1505.76,6672.08,2728.17,1270.09,33788.35,3663.97,1483.24,3723.56,11012.29,784.78,10958.65,925.6,2379.78,519.53,2034.22,15693.09,8556.57,1138.45,6770.64,5576.44,872.16,1093.97,4590.85,23161.52,25787.85,882.3,20005.5,10053.69,2374.39,6952.03,4573.67,2958.75,8055.74,11483.73,3287.7,2378.94,7598.83,1080.97,15662.98,1588.3,2664.55,16099.85,1259.43,2480.32,1699.46,5465.06,25275.29,5337.27,13001.53,1434.02,10065.61,1071.69,1374.39,3991.55,12118.37,4880.56,10086.84,16096.92,917.73,804.69,9143.72,34007.19,4903.03,8048.98,7519.8,1155.93,8531.55,1725.35,3413.95
1988,30935.91,2572.6,18247.02,3360.62,5259.07,10764.74,26643.41,22114.58,924.11,23172.12,1329.52,950.72,1214.56,9842.48,13966.15,24253.75,5161.53,30416.03,1999.61,6229.4,15479.6,2218.84,4878.08,1050.32,30270.08,35187.99,7091.84,2637.58,2428.65,2781.27,1903.99,1930.18,6687.52,3892.33,1978.78,7246.35,55157.75,18348.77,22925.24,2527.85,7255.57,25099.27,5025.78,8056.23,5580.87,1700.86,15182.61,787.98,23717.07,4881.08,23393.56,6781.14,22528.15,2785.84,3163.9,2664.39,1368.14,1993.54,15259.88,3905.97,3438.88,22637.07,2847.94,1368.36,12215.41,2701.54,1173.67,15284.83,2469.02,5616.32,31787.19,20531.54,23039.65,4555.06,4400.58,22741.71,2110.19,1067.72,8909.87,9966.32,23961.37,1018.32,4871.67,1616.99,7086.86,2763.59,1389.8,37255.46,4048.83,1396.41,3923.07,10636.41,675.8,12162.3,800.59,2456.6,501.44,2041.45,18342.95,8764.13,1011.4,7273.17,5624.53,857.18,952.86,3131.33,24029.05,25317.71,933.58,20745.47,8809.34,2463.64,6123.3,4242.45,3186.65,8591.21,12532.27,3484.34,2267.41,7813.14,1051.54,16568.47,1611.76,2669.42,17165.64,1275.13,2569.49,1621.84,6174.9,26104.53,5237.63,13763.45,1466.97,10769.21,1135.96,1518.14,4324.09,11385.39,4988.72,10104.83,16742.1,1174.49,821.24,9101.35,35070.26,5735.86,7865.19,7947.6,1185.96,8568.45,1707.24,3893.31
1989,35964.21,2640.22,19552.12,3554.89,5092.35,11218.27,27447.28,23422.51,862.13,24353.24,1210.29,933.87,1318.63,9579.73,14082,25699.78,5501.9,30463.64,2099.45,6156.77,16873.26,2366.24,6144.27,1083.14,30915.27,36710.59,7580.75,2551.46,2572.72,2612.55,1855.48,2019.07,6725.94,3566.02,2082.72,7388.07,56190.63,19812.82,23996.45,2340.5,7128.4,25346.35,4926.85,8075.31,5525.74,1842.78,16246.95,752.88,24987.48,5274.77,24273.03,8928.9,22943.25,2702.79,3166.07,2648,1386.65,2150.34,15932.93,4398.04,3510.39,23440.89,2856,1263.29,12670.13,2913.42,1232.19,16576.44,2609.82,4959.85,30319.55,19920.69,24090.58,4573.64,4204.75,24465.63,2080.12,1102.15,9596.82,10847.08,26869.16,1115.61,2842.77,1690.6,7047.94,2860.75,1451.5,41003.68,3996.12,1325.7,4158.29,10853.7,693.82,12900.29,811.09,2393.88,539.82,2061.09,22127.07,9042.36,1025.69,7646.79,5590.21,817.23,917.46,2900.81,25173.73,25741.32,984.2,21100.7,9238.17,2491.85,5971.43,3481.1,3341.16,9068.58,13444.41,3626.69,2235.12,7431.2,1102.97,15925.04,1492.44,2565.7,18517.77,1316.66,2574.11,1790.47,6368.53,27037.62,5197.76,14799.47,1309.52,11502.42,1135.53,1497.25,4645.66,10657.94,5057.09,9820.19,18094.17,1083.26,817.88,9123.26,35993.34,5644.97,7867.52,8242.52,1206.85,8557.4,1341.6,4257.7
1990,38092.71,2698.76,22867.21,3374.06,5406.27,11710.31,26769.89,24872.14,847.16,25249.46,1207.65,910.25,1337.06,10130.82,15153.13,25452.88,6138.5,29642.88,2200,5841.4,16307.3,2507.09,6274.95,1050.44,30398.7,38163.77,7552.53,2548.28,2294.13,2410,1392.43,2213.21,6829.81,3487.15,2010.01,7326.17,59744.71,20823.89,25626.28,2353.17,7718.4,25711.34,4493.43,8282.12,5774.59,2012.93,17279.91,722.94,25111.71,5707.93,24898.23,8699.62,23052.52,2734.69,3068.07,2639.63,1417.39,1846.16,16214.13,4687.34,3586.91,24111.51,2786.47,1240.9,12652.11,3202.77,1283.87,17781.98,3049.37,4839.5,29850.12,21261.81,25096.57,4792.84,3309.74,26252.23,2068.11,1073.5,10147.5,12048.54,19934.19,1157.71,3873.14,852.92,7284.85,2929.09,1456.78,42348.65,3985.47,1265.57,4653.54,11282.54,664.81,13538.99,805.98,3314.83,526.88,1964.41,26573.94,9745.63,962.95,8089.8,4725.75,826.01,844.14,2949.56,26252.66,26209.2,986.63,20825.31,10590.51,2480.88,6152.43,3448.76,3489.25,8113.9,14541.34,3649.18,2552.28,7183.23,1061.97,16343.7,1499.59,2544.77,20444.33,1423.1,2483.28,1723.64,6377.15,27229.87,5820.36,16136.8,1203.57,12137.9,1122.47,1632.67,4973.61,11237.06,5311.88,10371.07,19194.01,1106.32,811.15,8919.09,36169.02,5533.21,8527.79,10009.04,1258.94,8322.35,1306.66,4417.75
1991,33607.69,2424.25,17356.77,2776.01,6406.55,11796.94,26397.21,26199.12,862.27,25668.39,1224.28,955.72,1369.41,10524.72,15281.78,23511.97,5671.39,29202.54,2266.41,6272.55,17256.27,2489.87,6416.09,1009.06,29254.02,37455.74,8017.13,2654.89,2256.87,2276.09,1052.14,2450.73,6805.6,3272.72,2022.3,7346.58,57814.58,20136.81,27081.02,2216.19,7255.34,25824.78,4511.59,8286.48,5808.47,2280.83,18110.51,648.49,23340.37,5503.89,24931.1,9112.61,22394.56,2909.35,3026.98,2606.38,1437.64,1786.15,17190.04,4766.26,3736.87,25622.63,2864.45,1224.06,11340.06,3412.98,1291.58,18011.61,3505.35,1584.07,30374.44,22965.14,25946.78,4805.38,2868.51,27763.57,2086.23,1134.47,10479.87,13510.33,11997.62,1173.77,5311.27,766.34,7114.38,2926.83,1422.94,45637.03,4398.35,1178.47,4874.98,11509.8,733.93,14368.86,770.83,2401.65,530.94,1976.69,19509.08,10304.79,1020.52,8634.6,4806.16,803.89,696.72,2981.75,26933.39,26668.16,1037.8,20233.51,9918.4,2467.66,6693.49,3526.46,3542.17,7676.05,15256.3,3672.38,2344.51,6692.25,960.54,17717.83,1531.24,2448.67,21643.21,1467.01,2579.5,1664.01,6454.69,26908.8,5958.72,16106.12,1079.29,12666.07,1131.83,1500.65,5336.31,10592.33,5568.74,9901.46,20619.29,1078.67,794.87,9277.46,35751.57,6077.47,8244.87,12228.98,1350.15,8115.41,1309.94,5041.11
1992,42728.29,2702.66,20921.22,2177.38,7605.83,11922.56,27114.04,27045.76,820.23,26413.35,1218.85,928.57,1374.81,8903.71,15851.7,22715.16,5946.05,28613.92,2318.15,6378.63,17208.87,2549.05,6308.82,942.55,29149.67,36928.72,8701.04,2820.92,2278.59,2172.36,1382.1,1740.97,6882.27,3383.41,2127.81,7905.16,57289.1,21733.91,27987.08,2449.2,8108.45,26433.52,4942.88,7861.96,5787.18,2472.02,18599.08,559.52,22134.76,5656.49,25195.74,8503.58,22304.61,2682.06,2831.77,2585.58,1232.82,2063.79,17466.11,5475.93,3742.05,27482.2,2909.72,1157.97,11491.3,3626.39,1338.34,18535.75,3780.05,1924.82,28740.64,24086.1,26364.31,5156.78,3125.3,28610.99,1991.18,1172.35,10451.03,14533.96,24394.31,1204.48,4466.49,492.46,7523.33,3150.47,1500.29,45226.23,4312.25,1115.31,5054.83,11763.06,663.51,14598.87,822.46,2251.2,441.77,1951.23,19381.88,10992.08,907.96,9196.83,4880.41,773.16,584.7,2907.21,27305.26,26847.29,1035.09,20422.16,10263.36,2543.46,7176.32,3522.92,3621.15,8191.99,16004.52,3701.86,2782.12,6159.11,1061.03,18488.72,1439.33,2411.82,22284.96,1381.96,2738.1,1613.1,6507.84,26572.8,6117.51,16820.99,1082.35,12984.97,1107.05,1444.22,5939.03,9814.45,6008.09,10166.92,21766.54,961.32,804.85,10307.91,36700.57,6973.61,8147.38,14388.63,1429.63,7863.55,1092.14,4409.59
1993,44692.35,2265.74,20859.7,2715.27,8633.89,12495.59,27902.73,27425.45,754.4,26389.64,1235.47,933.03,1389.17,8274.55,16507.76,22347.69,6480.03,29558.45,2426.98,6753.29,17937.49,2754.39,6398.47,897.21,29689.66,36907.51,9074.6,3076.02,2215.84,2225.08,1028.35,1787.53,7092.8,3249.03,2195.27,8336.66,57512.33,20982.71,27994.14,3144.12,8378.04,26015.11,5316.49,7187.17,5255.51,2839.86,18520.79,580.39,21652.17,5677,24841.06,8228.98,22773.58,2504.69,2799.2,2608.45,1344.54,2082.28,17485.37,5393.81,3882.02,29434.94,2941.67,1061.82,12046.74,3811.25,1411.88,19454.93,4569.88,2785.74,28588.59,24426.65,26090.47,5283.5,3119.62,29276.15,2034.52,1069.94,10772.28,15899.35,35137.91,1244.06,4641.63,333.73,7581.19,3409.33,1598.15,48444.83,4294.97,1097.12,5256.86,12940.73,684.27,14919.35,872.23,1837.11,454.43,2092.11,18425.69,11381.47,974.23,9950.76,4828.58,741.29,492.01,2861.13,27501.26,27642.1,1093.77,21789.04,10044.9,2527.46,7455.65,3701.27,3718.07,8819.72,16032.79,3785.6,2945.26,6538.95,1033.13,18226.17,1365.93,2280.8,24192.41,1540.98,2993.1,1595.49,5960.43,25397.99,6638.74,18691.57,1005.55,13764.54,1058.26,1175.83,6459.31,9248.27,6283.76,10943.41,23078.42,909.74,814.1,10685.8,37473,6678.73,7679.17,18330.79,1476.73,7925.11,1012.02,4511.71
1994,48549.7,2388.54,22067.57,3315.14,9957.27,12952.33,29004.9,28673.78,769,27282.57,1108.35,859.43,1426.18,8330.3,16157.99,23055.99,6979.93,29969.02,2615.43,7461.99,18851.47,2858.74,6597.06,1030.94,31000.87,37536.28,9820.58,3247.19,2263.26,2235.29,748.86,1602.74,7397.7,2698.33,2426.03,8615.4,57587.94,22113.49,29026.56,2305.31,8201.3,27348.97,5509.98,6922.82,5276.33,3177.48,19277.68,523.93,22334.84,5830.81,25357.98,8638.37,23393.97,2594.18,2808.29,2565.45,1456.57,1376.77,18231.58,5645.31,4044.06,30986.25,2912.48,956.81,12765.25,4018.89,1481.48,20696.87,4877.81,2533.84,29089.55,25515.09,27046.76,5285.83,3279.07,30236.99,2255.39,1117.04,11611.53,17838.98,40713.76,1306.64,4907.32,259.46,7268.78,3607.08,1637.42,50528.83,4745.52,1074.43,5469.47,13461.31,667.95,15700.9,899.25,1969.94,483.7,2131.09,19439.81,11913.08,1060.1,10749.64,4926.79,729.95,443.65,2935.03,28414.4,28673.6,1209.67,22972.32,9747.03,2533.39,7493.6,4258.29,4037.66,9534.25,17076.16,3897.91,3280.58,7078.42,499.96,17449.1,1410.22,2250.22,25948.09,1734.28,3233.65,1547.83,5889.15,26916.06,6705.2,19051,943.43,14802.72,1070.48,1301.51,7100.84,9528.25,6794.87,10088.77,24475.86,853.56,1054.73,11595.67,38727.39,6458.45,7374.15,22763.04,1529.88,8030.25,954.61,4962.9
1995,43330.89,2342.61,20537.23,3619.52,10912.57,12134,30113.61,30071.43,693.7,28083.8,1150.76,879.42,1450.09,8125.19,16560.27,23629.54,7453.35,31282.67,2840.4,8543.3,19333.08,3183.69,7064.44,1021.09,32066.21,37769.68,11158.51,3424.93,2389.28,2302.27,758.46,1479.92,7604.22,3146.15,2414.94,8860.11,57231.55,23219.18,29964.79,2677.7,8335.86,28257.6,5675.64,7035.57,5182.49,3657.96,20313.76,560.82,24622.08,5883.31,25762.37,8654.64,25831.61,2616.27,2837.2,2503.7,1453.39,1556.56,18972.84,5678.77,4215.45,31325.76,3052.07,1223.46,13300.7,4292,1560.45,23428.95,5036.14,1999.99,29273.03,27008.99,28320.12,5330.92,3312.71,31912.36,2096.63,1180.23,11959.91,20014.56,42295.48,1369.56,5200.86,241.23,7699.57,3791.23,1654.34,50686.89,4620.97,1065.62,5508.95,10873.53,876.98,16547.75,957.12,2537.23,426.59,2023.95,18177.46,12961.22,1059.37,11717.2,4865.12,753.48,415.48,3068.76,29445.68,30007.16,1228.33,23947.9,10199.04,2618.93,7293.92,4707.05,4377.09,10493.75,17914.56,3988.32,3350.62,7471.87,621.79,17114.07,1373.59,2211.39,28065.49,1627.16,3546.68,1465.01,5561.67,28669.11,7517.56,17785.05,979.95,15155.93,1060.1,1278.97,7917.7,9555.05,7242.22,10543.62,25803.81,863.52,1026.84,11451.72,39360.64,6826.08,7328.84,27557.74,1625.68,8260.51,950.81,4655.58
1996,45676.58,3053.9,20484.91,4083.91,13962.05,12468.59,31373.92,30714.4,644.36,28206.59,1212.15,946.14,1453.89,7212.09,16081.81,27045.21,6667.22,32534.12,3060.39,10068.18,21700.14,3379.31,8292.7,874.82,32696,38224.92,11428.98,3645.35,2534.25,2397.19,655.55,1697.66,7532.38,3030.75,2707,8678.09,56774.71,23000.3,30273.2,2378.72,8265.03,29179.49,5970.87,7668.56,5138.18,4315.93,20985.94,557.57,24915.19,6126.85,26105.48,9422.76,27243.02,2629,3016.94,2524.04,1463.09,2339.93,19600.89,6238.8,4273.91,33474.26,3057.22,1395.79,13701.13,4608.73,1669.87,25206.37,6064.92,2898.08,30188.92,28246.66,28786.31,5426.48,3219.91,33783.33,2144.68,1106.33,13080.53,21902.4,43079.59,1445.42,5424.68,223.09,8183.4,4034.19,1792.1,51957.44,5372.43,1081.5,6029.05,11250.28,1052.17,17031.42,972.27,2313.87,527.45,2178.96,15056.83,14235.99,1033.81,12696.65,5117.89,734.42,414.52,3121.64,30625.13,32593.81,1302.84,24858.12,11053.9,2689.32,7535.38,4872.36,4681.26,11295.47,18472.02,4035.77,3213.65,7750.22,688.6,17169.07,1376.51,2289.18,29659.6,1374.47,3639.07,1516.11,6479.26,29197.11,7854.39,18825.29,957.78,15681.27,1011.35,1452.47,8650.87,9371.35,8264.43,11519.44,27487.99,911.42,1013.11,12087.74,40504.65,6980.93,7367.33,29132.89,1721.85,8441.38,1029.85,5213.07
